Loja,Fim de Semana ou Feriado,Media Historica,Investimento em MKT,Chuva,Shopping,Clientes
1,0,7792.302239,1000,0,1,7907.454107
1,0,7792.302239,1041.54928,0,1,4693.387531
1,0,7792.302239,1114.982157,0,1,5996.625514
1,0,7792.302239,1121.025921,0,1,11101.97716
1,0,7792.302239,1032.521648,0,1,8678.503896
1,1,7792.302239,1114.114499,0,1,12213.25786
1,0,7792.302239,912.2120117,0,1,6781.960029
1,0,7792.302239,937.6528352,0,1,5645.605338
1,0,7792.302239,905.7611237,0,1,2173.265992
1,1,7792.302239,979.4915459,0,1,10264.63518
1,1,7792.302239,1154.400656,0,1,14720.00082
1,0,7792.302239,1081.494027,0,1,7688.765564
1,0,7792.302239,1071.294362,0,1,5976.605295
1,0,7792.302239,1045.993059,0,1,5816.199852
1,0,7792.302239,1080.123487,1,1,9034.517676
1,1,7792.302239,1210.814839,0,1,7598.618792
1,1,7792.302239,1049.737458,0,1,7998.333467
1,0,7792.302239,1005.793025,0,1,8070.0987
1,0,7792.302239,1000.193982,0,1,5528.795812
1,0,7792.302239,1066.921438,0,1,15361.94795
1,1,7792.302239,1290.687259,0,1,9278.341958
1,1,7792.302239,1219.521752,0,1,13895.73272
1,0,7792.302239,1344.560803,0,1,5700.161074
1,0,7792.302239,1270.891542,0,1,10815.59333
1,1,7792.302239,1279.247662,1,1,18303.14343
1,0,7792.302239,1123.669616,0,1,8177.993158
1,1,7792.302239,1157.811499,0,1,11331.04394
1,1,7792.302239,1129.030567,0,1,11201.06575
1,1,7792.302239,1010.384703,0,1,8814.223179
1,0,7792.302239,891.8000535,1,1,5965.612807
1,0,7792.302239,853.3220046,0,1,5664.020182
1,0,7792.302239,809.9257291,0,1,4721.766123
1,0,7792.302239,822.2771919,0,1,2106.061236
1,1,7792.302239,792.0540652,0,1,6167.797792
1,1,7792.302239,784.9577362,1,1,5075.552306
1,0,7792.302239,857.1950167,0,1,10075.2181
1,0,7792.302239,833.7757505,0,1,3372.531191
1,1,7792.302239,774.9678253,1,1,2447.466552
1,0,7792.302239,754.1500867,0,1,7879.051352
1,1,7792.302239,787.2425022,0,1,10785.65088
1,1,7792.302239,753.1915422,0,1,3157.619804
1,0,7792.302239,855.6275903,0,1,4525.64969
1,0,7792.302239,855.3102414,1,1,8121.768726
1,1,7792.302239,678.9137553,0,1,5558.149195
1,0,7792.302239,647.6422151,0,1,5646.338018
1,0,7792.302239,548.5925935,0,1,7212.268365
1,1,7792.302239,585.2580616,1,1,1932.899292
1,0,7792.302239,500,0,1,669.9359704
1,0,7792.302239,500,0,1,4222.4606
1,0,7792.302239,572.5767687,1,1,2308.986959
1,0,7792.302239,641.4474619,0,1,3150.136855
1,1,7792.302239,765.6128181,1,1,3980.363046
1,1,7792.302239,806.0662664,0,1,9272.944549
1,0,7792.302239,621.1212041,1,1,500
1,0,7792.302239,570.9580448,0,1,8289.477988
1,0,7792.302239,598.265066,0,1,2682.321768
1,1,7792.302239,618.9141113,0,1,8522.570004
1,1,7792.302239,691.2438686,0,1,3490.329746
1,0,7792.302239,629.8252919,0,1,5364.772751
1,0,7792.302239,570.8387682,0,1,2944.837476
1,0,7792.302239,806.4873477,0,1,7498.886626
1,0,7792.302239,675.0410559,0,1,7737.778282
1,0,7792.302239,642.8041192,0,1,6831.905293
1,0,7792.302239,500,0,1,500
1,0,7792.302239,500,0,1,2371.356385
1,1,7792.302239,500,0,1,7287.801385
1,0,7792.302239,500,0,1,1408.013382
1,0,7792.302239,500,0,1,967.5674823
1,0,7792.302239,500,0,1,2982.508765
1,0,7792.302239,500,0,1,6948.537829
1,0,7792.302239,500,0,1,6145.257196
1,1,7792.302239,500,1,1,4918.928671
1,0,7792.302239,500,0,1,3891.108587
1,1,7792.302239,500,0,1,5611.655849
1,1,7792.302239,500,0,1,4347.782268
1,1,7792.302239,500,0,1,1519.714794
1,0,7792.302239,500,0,1,4502.430744
1,1,7792.302239,500,0,1,3806.081423
1,0,7792.302239,500,0,1,2265.244294
1,1,7792.302239,500,0,1,5393.633825
1,0,7792.302239,500,0,1,2630.286022
1,0,7792.302239,500,0,1,3254.934792
1,0,7792.302239,500,1,1,4332.496099
1,0,7792.302239,500,0,1,2509.742995
1,0,7792.302239,500,0,1,2990.34914
1,1,7792.302239,500,0,1,5652.635761
1,0,7792.302239,500,0,1,6486.010103
1,0,7792.302239,500,0,1,4889.21735
1,1,7792.302239,500,1,1,2872.180937
1,0,7792.302239,500,0,1,4705.094825
1,0,7792.302239,500,1,1,500
1,0,7792.302239,500,0,1,3895.309578
1,0,7792.302239,500,0,1,4348.087161
1,0,7792.302239,500,0,1,3659.286689
1,0,7792.302239,500,0,1,2357.217152
1,0,7792.302239,500,0,1,3342.125827
1,0,7792.302239,500,0,1,1296.403018
1,0,7792.302239,500,0,1,2545.572783
1,0,7792.302239,500,0,1,4397.630297
2,0,3544.927826,1000,0,0,1679.600912
2,0,3544.927826,817.9013008,0,0,3791.422685
2,0,3544.927826,697.3413503,0,0,3889.018656
2,1,3544.927826,888.7424581,0,0,3588.190106
2,0,3544.927826,911.6054383,0,0,3496.700756
2,1,3544.927826,925.060078,0,0,6953.606204
2,0,3544.927826,846.5908835,0,0,3852.438312
2,0,3544.927826,906.7478847,0,0,2005.069466
2,0,3544.927826,1151.738001,0,0,728.4165741
2,0,3544.927826,1111.034731,0,0,5356.96216
2,1,3544.927826,1163.514754,0,0,3234.578681
2,0,3544.927826,1426.367826,0,0,1405.683072
2,0,3544.927826,1465.854822,0,0,3400.154971
2,1,3544.927826,1540.590756,0,0,4632.264425
2,0,3544.927826,1536.441099,1,0,1879.590169
2,0,3544.927826,1565.558511,0,0,2793.217359
2,0,3544.927826,1426.154763,0,0,3302.575063
2,1,3544.927826,1439.720929,0,0,3856.700361
2,1,3544.927826,1321.983358,0,0,7611.503636
2,0,3544.927826,1509.023605,0,0,6559.944862
2,0,3544.927826,1588.011182,0,0,3439.405273
2,1,3544.927826,1729.011203,0,0,8574.477474
2,0,3544.927826,1723.844467,0,0,3908.326443
2,1,3544.927826,1785.002197,0,0,10969.57642
2,0,3544.927826,1816.37981,1,0,1347.632726
2,0,3544.927826,1973.461425,0,0,4974.276639
2,0,3544.927826,1889.029112,0,0,2769.003131
2,0,3544.927826,1695.274314,0,0,4800.992239
2,0,3544.927826,1719.844395,0,0,3874.023962
2,0,3544.927826,1852.576581,1,0,4533.480489
2,0,3544.927826,1952.8723,0,0,4125.176961
2,0,3544.927826,1973.588745,0,0,6058.001139
2,1,3544.927826,2189.272552,0,0,5518.417172
2,0,3544.927826,2270.336503,0,0,8916.396403
2,1,3544.927826,2313.245166,1,0,5866.437569
